*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=canBus Shieldv4
*Date=09:28:01
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;41.0337;-3.41376;0;Bottom;Copper Fill27
103;;;39.7915;-46.8638;90;Top;Pad1
104;;;60.0329;-10.4496;0;Bottom;Copper Fill56
105;;;43.5864;-18.9586;0;Bottom;Copper Fill13
106;;;32.2849;-25.3792;-90;Bottom;TXT1
107;;;29.3878;-25.2832;0;Bottom;Copper Fill9
108;;THT;53.7614;-34.1638;90;Bottom;J3
109;;;37.2514;-31.6238;90;Top;Pad4
110;;;58.8414;-45.5938;90;Top;Pad8
111;;;62.9121;-9.22142;0;Bottom;TXT1
112;;;34.6202;-26.6802;0;Bottom;Copper Fill18
113;;;58.1569;-34.245;0;Bottom;TXT1
114;;;18.1737;-41.5646;0;Bottom;Copper Fill59
115;;;38.5213;-44.3238;0;Bottom;Via1
116;100nF;200 mil [THT, multilayer];62.6514;-11.3038;180;Bottom;C1
117;;;6.60251;-45.6054;0;Bottom;TXT1
118;;;20.7437;-31.2441;0;Bottom;TXT1
119;;;60.96;-11.3767;0;Bottom;Copper Fill25
120;;;43.5737;-1.66116;0;Bottom;Copper Fill64
121;;;25.4254;-43.0759;0;Bottom;Copper Fill75
122;100nF;200 mil [THT, multilayer];24.5514;-40.5138;-90;Bottom;C4
123;;;60.2294;-39.1265;0;Bottom;TXT1
124;330;THT;33.4414;-10.0338;-1.27222e-14;Bottom;R5
125;;;18.1737;-39.5326;0;Bottom;Copper Fill30
126;;;60.9092;-43.622;0;Bottom;Copper Fill40
127;;;43.5864;-32.3444;0;Bottom;Copper Fill44
128;;;2.1336;-16.9012;0;Bottom;Copper Fill16
129;;;11.0272;-12.5397;-90;Bottom;TXT1
130;;;38.4556;-43.0632;0;Bottom;Copper Fill36
131;;;54.9529;-20.5588;0;Bottom;Copper Fill66
132;;;51.4604;-41.5392;0;Bottom;Copper Fill1
133;;;10.7404;-48.1614;0;Bottom;TXT1
134;;;41.0337;-1.66116;0;Bottom;Copper Fill63
135;;;15.9258;-7.56666;0;Bottom;Copper Fill54
136;;;29.6672;-3.61696;0;Bottom;Copper Fill47
137;;;29.3116;-15.7582;0;Bottom;Copper Fill11
138;;;26.5921;-40.5526;-90;Bottom;TXT1
139;;;33.5231;-16.481;0;Bottom;TXT1
140;;THT;65.1914;-27.8138;180;Bottom;J4
141;;;60.3738;-41.5753;0;Bottom;TXT1
142;;;6.33384;-50.1072;0;Bottom;TXT1
